Functio_Name,Functio_Line_Num,Bengin,Spill_Num,End
getOriginalArcPosition,10,7,0,17
arc_compare,24,17,7,41
cost_compare,25,41,9,66
markBaskets.constprop.6,27,66,7,93
refreshPositions.constprop.12,89,93,40,182
switch_arcs.constprop.9,176,182,55,358
spec_qsort.constprop.11,1288,358,550,1646
primal_bea_mpp.constprop.5,263,1646,92,1909
refresh_neighbour_lists,78,1909,17,1987
flow_cost,97,1987,25,2084
start,11,2084,0,2095
getArcPosition,33,2095,4,2128
flow_org_cost,135,2128,32,2263
primal_feasible,133,2263,14,2396
dual_feasible,61,2396,12,2457
getfree,52,2457,8,2509
read_min,514,2509,192,3023
refreshArcPointers,106,3023,18,3129
refreshPositions,91,3129,23,3220
marc_arcs,135,3220,31,3355
marc_arcs.cold.14,28,3355,0,3383
resize_prob,72,3383,24,3455
insert_new_arc,69,3455,30,3524
replace_weaker_arc,84,3524,32,3608
calculate_max_redcost,29,3608,6,3637
switch_arcs,200,3637,73,3837
price_out_impl,820,3837,348,4657
suspend_impl,252,4657,59,4909
primal_start_artificial,92,4909,41,5001
write_circulations,182,5001,39,5183
write_objective_value,45,5183,0,5228
update_tree,220,5228,56,5448
primal_iminus,85,5448,29,5533
master.constprop.4,271,5533,73,5804
global_opt,156,5804,20,5960
main,110,5960,5,6070
primal_update_flow,36,6070,6,6106
markBaskets,77,6106,16,6183
worker,397,6183,138,6580
master,341,6580,98,6921
primal_net_simplex,54,6921,15,6975
set_static_vars,15,6975,5,6990
bea_is_dual_infeasible,26,6990,2,7016
primal_bea_mpp,265,7016,94,7281
spec_qsort,2672,7281,1198,9953
